
Transit library: ADS | OWNER:Acorn Public Library District
Transit library: AMS | OWNER:Alsip-Merrionette Park Public Library District
Transit library: BBS | OWNER:Markham Public Library Bookmobile
Transit library: BCS | OWNER:Beecher Community Library District
Transit library: BFS | OWNER:Brookfield Public Library
Transit library: BIS | OWNER:Blue Island Public Library
Transit library: BKS | OWNER:Berkeley Public Library
Transit library: BPS | OWNER:Bedford Park Public Library District
Transit library: BRS | OWNER:Broadview Public Library District
Transit library: BVS | OWNER:Bridgeview Public Library
Transit library: BWS | OWNER:Bellwood Public Library
Transit library: BYS | OWNER:Berwyn Public Library
Transit library: BZS | OWNER:Brookfield Zoo
Transit library: CAS | OWNER:Calumet Park Public Library
Transit library: CCS | OWNER:Calumet City Public Library
Transit library: CHS | OWNER:Chicago Heights Public Library
Transit library: CIS | OWNER:Cicero Public Library
Transit library: CNS | OWNER:Clarendon Hills Public Library
Transit library: CRS | OWNER:Chicago Ridge Public Library
Transit library: CTS | OWNER:Crete Public Library District
Transit library: CWS | OWNER:Crestwood Public Library District
Transit library: DGS | OWNER:Downers Grove Public Library
Transit library: DOS | OWNER:Dolton Public Library District
Transit library: EPS | OWNER:Elmwood Park Public Library
Transit library: ESS | OWNER:Eisenhower Public Library District
Transit library: EVS | OWNER:Evergreen Park Public Library
Transit library: FBS | OWNER:Frankfort Public Library District Bookmobile
Transit library: FMS | OWNER:Flossmoor Public Library
Transit library: FPS | OWNER:Forest Park Public Library
Transit library: FRS | OWNER:Frankfort Public Library District
Transit library: GAS | OWNER:Glenwood-Lynwood Public Library District Bookmobile
Transit library: GPS | OWNER:Grande Prairie Public Library District
Transit library: GWS | OWNER:Glenwood-Lynwood Public Library District
Transit library: HAS | OWNER:Harvey Public Library District
Transit library: HDS | OWNER:Hinsdale Public Library
Transit library: HKS | OWNER:Hodgkins Public Library District
Transit library: HSS | OWNER:Hillside Public Library
Transit library: HWS | OWNER:Homewood Public Library District
Transit library: ILL_LIBS | OWNER:ILL Libraries
Transit library: INS | OWNER:Indian Prairie Public Library District
Transit library: JDS | OWNER:Justice Public Library District
Transit library: LGS | OWNER:La Grange Public Library
Transit library: LPS | OWNER:La Grange Park Public Library District
Transit library: LYS | OWNER:Lyons Public Library
Transit library: MAS | OWNER:The Morton Arboretum
Transit library: MCS | OWNER:McCook Public Library District
Transit library: MDS | OWNER:Midlothian Public Library
Transit library: MKS | OWNER:Markham Public Library
Transit library: MPS | OWNER:Melrose Park Public Library
Transit library: MTS | OWNER:Matteson Public Library
Transit library: MWS | OWNER:Maywood Public Library District
Transit library: NLS | OWNER:Northlake Public Library District
Transit library: NRS | OWNER:North Riverside Public Library District
Transit library: OES | OWNER:Oak Park Public Library Dole Branch
Transit library: OLS | OWNER:Oak Lawn Public Library
Transit library: OPS | OWNER:Oak Park Public Library Main Branch
Transit library: OZS | OWNER:Oak Park Public Library Maze Branch
Transit library: PCS | OWNER:Prairie State College
Transit library: PFS | OWNER:Park Forest Public Library
Transit library: PHS | OWNER:Palos Heights Public Library
Transit library: PPS | OWNER:Palos Park Public Library
Transit library: PSS | OWNER:University Park Public Library District
Transit library: PTS | OWNER:Prairie Trails Public Library District
Transit library: RDS | OWNER:Riverdale Public Library District
Transit library: RFS | OWNER:River Forest Public Library
Transit library: RGS | OWNER:River Grove Public Library District
Transit library: ROS | OWNER:William Leonard Public Library District
Transit library: RPS | OWNER:Richton Park Public Library District
Transit library: RSS | OWNER:Riverside Public Library
Transit library: SAS | OWNER:Summit Public Library District
Transit library: SFS | OWNER:Stickney-Forest View Public Library District
Transit library: SHS | OWNER:South Holland Public Library
Transit library: SPS | OWNER:Schiller Park Public Library
Transit library: STS | OWNER:Steger-South Chicago Heights Public Library District
Transit library: SVS | OWNER:Nancy L. McConathy Public Library District
Transit library: SWS | OWNER:SWAN Headquarters
Transit library: TBS | OWNER:Tinley Park Public Library Bookmobile
Transit library: TFS | OWNER:Thomas Ford Memorial Library
Transit library: THS | OWNER:Thornton Public Library
Transit library: TPS | OWNER:Tinley Park Public Library
Transit library: TTS | OWNER:South Suburban College
Transit library: WCS | OWNER:Westchester Public Library
Transit library: WMS | OWNER:Westmont Public Library
Transit library: WOS | OWNER:Worth Public Library District
Transit library: WRS | OWNER:Woodridge Public Library
